Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
RACE,Ferrari N.V.,52.72,$12.94B,2015,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/race
FCAM,Fiat Chrysler Automobiles N.V.,63.88,n/a,2014,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/fcam
FCAU,Fiat Chrysler Automobiles N.V.,6.3,$10.7B,2014,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/fcau
F,Ford Motor Company,11.91,$47.32B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/f
GM,General Motors Company,31.87,$49.25B,2010,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/gm
HMC,"Honda Motor Company, Ltd.",29.41,$53.01B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/hmc
NAV,Navistar International Corporation,22.67,$1.85B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/nav
NAV^D,Navistar International Corporation,12.65,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/nav^d
OSK,Oshkosh Corporation,52.75,$3.88B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/osk
TTM,Tata Motors Ltd,41.27,$28.03B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/ttm
TM,Toyota Motor Corp Ltd Ord,115.09,$192.09B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/tm
WBC,Wabco Holdings Inc.,107.28,$5.98B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/wbc
ACW,Accuride Corporation New,2.44,$117.71M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw
ALSN,"Allison Transmission Holdings, Inc.",27.71,$4.64B,2012,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn
AXL,"American Axle & Manufacturing Holdings, Inc.",17.78,$1.36B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/axl
ALV,"Autoliv, Inc.",100.29,$8.85B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alv
BWA,BorgWarner Inc.,34.67,$7.43B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/bwa
ZX,China Zenix Auto International Limited,1.08,$55.76M,2011,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/zx
CLC,CLARCOR Inc.,61.88,$3.01B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/clc
