,title,company,location,summary,est_annual_sal
89,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
90,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
91,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
92,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
93,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
94,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
95,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
96,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
97,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
98,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
99,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
100,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
101,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
102,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
103,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
104,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
105,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
106,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
107,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
108,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
109,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
110,HEALTH SCIENTIST,Centers for Disease Control and Prevention,"Atlanta, GA","As a Health Scientist you will:. Identify and apply analytical methods, techniques, and tools to analyze and interpret data....",101553.5
111,Health Scientist (Informatics),Centers for Disease Control and Prevention,"Atlanta, GA",As a Health Scientist (Informatics) you will:. Data and Information Synthesis Use relevant primary and secondary research findings to make action-oriented...,120002.5
112,Lead Data Scientist,Stackfolio,"Atlanta, GA 30308 (Old Fourth Ward area)",We are looking for a bright and experienced data scientist that has experience building web-based applications and systems to join our team as an early...,80000.0
113,Behavioral Scientist,Centers for Disease Control and Prevention,"Atlanta, GA",As Behavioral Scientist you will:. Develop metrics and analyze data to assess programmatic processes and outcomes....,120002.5
114,Mathematical Statistician,Centers for Disease Control and Prevention,"Atlanta, GA","Survey designs for related data collection. Conduct evaluations of data collection, reduction, processing, and analysis....",120002.5
115,Lead Quantitative Analyst,SearchBankingJobs,"Atlanta, GA","The client is looking for talented individuals who love data, love solving business problems, and want to see their recommendations in action....",177500.0
116,Senior R&D Statistician,Principle Solutions Group,"Roswell, GA","R&D Statistician to assist with the research and development of new data sources. You will be responsible for the development of new credit models, identifying...",130000.0
117,Senior Data Scientist,Analytic Recruiting,"Atlanta, GA","Python, data mining, data science; The data Scientist must also be able to manage complicated projects involving multiple internal/external stakeholders and...",112500.0
118,Business Research Analyst - Entry Level,CI Radar,"Norcross, GA",Who We Are CI Radar is the premier provider of competitive intelligence services for B2B (business to business) companies. We help both startups and Fortune,31000.0
119,Epidemiologist,Centers for Disease Control and Prevention,"Atlanta, GA",Assessment of the adequacy and quality of data used in the analyses; Participate in the synthesis of social science and epidemiologic data to be applied toward...,101553.5
120,Associate Research Analyst,CSTE,"Atlanta, GA 30341","Skills with developing and presenting epidemiologic data; For more than six decades, the Council of State and Territorial Epidemiologists (CSTE) and the Centers...",51706.0
121,Data Scientist-1,The Centrics Group,"Duluth, GA 30097","2+ years’ experience with data analytics, data structures, algorithms. Experience with large data sets or Big Data (MapReduce, Hadoop, Aster, Hive, etc)....",96000.0
122,Sponsored Research Financial Analyst,Emory University,"Atlanta, GA","Responsible for post award processing of grants and contracts in the Office of Grants & Contracts. Provide account management, reconciliation, and resolution",66700.0
123,"Scientist, Med Imag Analysis",Emory University,"Atlanta, GA","The Medical Image Analysis Scientist, works with Emory Radiology & Imaging Sciences faculty to help develop image analysis and image understanding algorithms...",69900.0
124,Supervisory IT Specialist,Centers for Disease Control and Prevention,"Atlanta, GA","Direct a staff of highly technical application and data management specialists, computer experts, computer specialists, computer scientists, and project...",141158.0
125,HR Specialist,SRG,"Atlanta, GA","SharePoint Site maintenance - Maintain data integrity for ESRO's SharePoint sites, Reorganize and reformat data as required• ;...",50000.0
126,Market Research & Sales Analyst,Interesse International Inc,"Atlanta, GA",Estimate numerical data; Must see through the data and analyze data to find conclusion; Works with large amounts of data:....,65000.0
127,School Business & Human Resources (HR) Manager,Amana Academy Charter School,"Alpharetta, GA",Accounts Receivables - data entry. Invoice data entry once approved. Our intent is to “push down the 4 walls of the school” by taking students out into the...,34999.5
128,Audit Snr (Banking) - Data Analysis 60K-80K,Synergy Search Group,"Atlanta, GA","Duties will include data conversion from multiple systems into analytical software such as ACL, using data analytical techniques to validate the integrity of...",80000.0
129,Engineering Technician,DeKalb Workforce Development,"Decatur, GA"," Develop and maintains accurate field data and project documentation. With our professional staff of engineers, scientists, surveyors, planners and technicians...",31000.0
130,Certifying Scientist,Lighthouse Recruiting,"Smyrna, GA 30082",A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....,62500.0
131,Quantitative Analyst,StreetID,"New York, NY",Professional or academic experience working with large/noisy data sets. The emphasis here will be on hiring exceptional talent with a passion for turning...,120000.0
132,Policy Data Analyst,DEPARTMENT OF FINANCE,"Manhattan, NY","Strong data analysis skills and data testing. Assisting with data cleansing, data conversion, system integrity, and system access issues....",74119.5
133,RESEARCH SCIENTIST,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY","OER also addresses key policy-relevant research questions, with research activities that include statistical analyses of administrative data and national survey...",77975.0
134,Research Analyst,The Real Deal,"New York, NY 10001 (Chelsea area)","Candidates must have an attention to detail and a passion for data. The Real Deal is growing its research division, including a website and proprietary data....",40000.0
135,Senior Data Scientist (Media),Averity,"New York, NY",We are looking for a Senior Data Scientist excited about the thought of heading up our new Data Science group....,150000.0
136,Senior Data Scientist,Averity,"New York, NY","Our data science needs are growing quickly, and we are looking to bring on experienced, smart data scientists excited about machine learning and business-minded...",150000.0
137,"Coordinator / Lead Scientist, Municipal Storm Sewer Systems",POLICE DEPARTMENT,"New York, NY","Maintain records of raw data; Coordinator/Lead Scientist, Municipal Storm Sewer Systems position will serve as the coordinator and lead scientist preforming...",90981.0
138,Senior Machine Learning Data Engineer,DTS - Machine Learning Practice,"New York, NY",Senior Machine Learning Developer / Data Engineer*. We are looking to hire a Senior Machine Learning Developer / Data Engineer with experience in Java or Scala...,200000.0
139,Data Scientist / Python Developer,"The Hagan-Ricci Group, Inc.","New York, NY",New York City financial services firm is seeking an experienced Data Scientist with strong Python development skills to work collaboratively with quants and IT...,250000.0
140,Quantitative Analyst for Global Quant Fund,Averity,"New York, NY",Examine and analyze data to increase alpha and decrease risk. Industry leading multi-billion dollar quant fund looking for Analysts that can drive quantitative...,225000.0
141,DATA ANALYST,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY","The Data Analyst will:. Experience with data visualization techniques. Knowledge of NYC policies, programming, and data sources related to housing,....",59984.5
142,Modeler/Policy Analyst,DEPARTMENT OF FINANCE,"Manhattan, NY","Strong programming, data analysis, statistical sampling and data mining experience. Prepare reports and respond to ad-hoc queries, data and reporting requests....",73357.0
143,Senior Data Scientist,Workbridge Associates,"New York, NY",This role is for a Senior Data Scientist who has previous leadership experience and is capable of hiring addition Data Scientists as the role grows....,125000.0
144,Ecologist,DEPT OF PARKS & RECREATION,"Manhattan, NY","Compile and collect baseline data, conduct pre- and post-project monitoring and analyze and present data. Two years as a City Research Scientist Level I can be...",75143.0
145,"Data Analyst, Bureau of Veterinary and Pest Control Services",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",-Tabulating and analyzing field collected data. -Collecting field data on the Attacking Rat Reservoir Initiative (ARRI) and associated rodent management...,64055.5
146,Lead Data Scientist,Net-Consultants,"New York, NY","Guide junior data scientists in aggregating and exploring applicant data to test statistical hypotheses. Our client, a small, early stage, high growth company...",160000.0
147,City Research Scientist,DEPT OF ENVIRONMENT PROTECTION,"New York, NY","Participating in data collection, analysis, interpretation, and generating reports on data, findings, and results....",79249.5
148,"STATISTICIAN, LEVEL I",POLICE DEPARTMENT,"New York, NY","This position will also be responsible for conducting confidential analytical work in the review, extraction, examination, and compilation of highly sensitive...",51363.0
149,Director of Data Engineering (Media),Averity,"New York, NY","Enabling our Data Scientists to create products easier with our data. First and foremost, as the Director of Data Engineering, you will be leading our...",215000.0
150,REVENUE ANALYST (STATISTICAL/ TIME SERIES ANALYSIS BACKGROUN...,Parker and Lynch,"New York, NY",Data analysis which includes working with large pools of data and manipulating information to perform analysis for management....,87500.0
151,VP of Data,Harnham,"New York, NY",VP of Data. The data team's mission is to provide the highest level of service to the community through analysing and researching all aspects of data and...,180000.0
152,Research Scientist - High Frequency Trading,Selby Jennings,"New York, NY 10167 (Midtown area)",Research Scientist - High Frequency Trading. An opportunity exists for an exceptional research scientist with a proven track record of cutting edge research...,212500.0
