,Zip Code,Predicted Total Sales,Predicted Dollar/liter,Store Count,Area (sqkm),Stores per sqkm,Zip Sales - Total,Dollar per liter
774,50075,509086.989503,13.0256029261,1.0,119.369391,0.00837735697253,662086.8,12.8334674662
786,50076,857578.38548,11.399571033,1.0,290.651382,0.00344054789321,467817.36,12.9787032876
798,50078,729829.254226,13.4932953861,,,,,
799,50101,-131429.284127,-27.4972912873,,,,,
800,50102,1124192.45071,11.8279835204,,,,,
801,50103,983414.995139,13.2343292601,,,,,
802,50104,-214069.380001,14.8723372866,,,,,
803,50105,143093.641068,9.42761778269,,,,,
804,50106,417119.29252,11.1063699352,,,,,
805,50107,761706.880864,13.2789525501,1.0,130.433186,0.00766676051293,192219.2,13.5665626809
815,50108,973825.05904,12.3819704732,,,,,
816,50109,1067581.39981,13.4832026554,1.0,62.757235,0.0159344177608,424697.64,11.1232018656
828,50111,1290535.46654,14.3557422233,6.0,71.484606,0.0839341549984,1826840.88,13.9679292267
900,50112,1054128.77101,12.7106095603,7.0,475.672153,0.0147160180722,444577.86,15.1906635979
976,50115,920446.962084,12.767296868,2.0,441.185334,0.00453324225868,956602.5,11.9870884133
990,50116,678060.680621,11.9148147291,,,,,
991,50117,-261661.929089,12.8195114057,,,,,
992,50118,593647.850014,13.0633471103,,,,,
993,50119,714232.684229,11.6924604579,,,,,
994,50122,827655.843852,12.3229190626,1.0,218.621364,0.00457411838305,510863.04,9.66667045111
1006,50123,332303.95709,10.5180420966,1.0,204.584834,0.00488794785248,226318.95,12.7743215304
1017,50124,567069.912176,13.7960156143,2.0,54.098688,0.0369694732708,946378.21,13.9016259577
1036,50125,1197226.3434,12.2738626959,8.0,426.521944,0.0187563620408,2968449.12,12.2541819738
1128,50126,1115280.26947,12.9051592077,5.0,351.87483,0.0142095983393,1119680.09,11.1336895806
1179,50128,167614.476573,9.61639385965,,,,,
1180,50129,928107.327051,11.2836987936,5.0,435.65865,0.0114768753013,1145719.3,14.9446261167
1238,50131,2174995.513,14.2621970108,9.0,64.666939,0.13917467162,2339163.59,15.1284632315
1329,50132,313992.902366,10.9260863161,,,,,
1330,50133,926793.823033,12.5105025959,,,,,
1331,50134,-201424.428759,23.6851026621,,,,,
1332,50135,812277.115428,12.3818041674,1.0,195.278764,0.00512088452178,154004.06,13.2528824259
1339,50136,1021098.63044,15.6981331807,1.0,100.632209,0.00993717627723,55900.1,12.111910385
1344,50138,1598726.53204,13.0102874055,5.0,461.827288,0.0108265581743,337649.76,12.6922639722
1404,50139,676932.168485,12.7155585443,,,,,
1405,50141,452217.233807,11.4647475574,,,,,
1406,50142,238071.915966,11.7587792772,1.0,2.566675,0.389609124646,786635.52,12.9885000991
1418,50143,782311.63744,12.5202080715,,,,,
1419,50144,1099187.83486,12.3580952995,3.0,362.605062,0.00827346420222,1227958.97,14.4970993617
1454,50146,626747.772457,12.5972251692,,,,,
1455,50147,1267620.71545,12.6504596544,,,,,
1456,50148,498983.833671,10.6455298167,,,,,
1457,50149,620273.575724,12.3178127835,,,,,
1458,50151,652342.194931,11.497336973,,,,,
1459,50153,178934.723921,9.49299472594,,,,,
1460,50154,247794.401507,9.01751308543,,,,,
1461,50155,240646.326897,10.3284284331,,,,,
1462,50156,1136286.85081,13.3547775856,1.0,238.724015,0.00418893758971,1029320.28,11.9901662305
1474,50157,-54083.0792677,-11.6867632613,,,,,
1475,50158,2522785.09902,15.2724131417,12.0,548.346934,0.0218839556783,2314207.48,15.1570032405
1599,50161,877490.856942,13.680672343,1.0,211.812219,0.00472116294669,413983.08,12.3078698666
1611,50162,505011.56247,11.8940590098,1.0,132.120698,0.00756883679195,44353.8,12.6688946015
1617,50164,701355.604937,11.8456381825,,,,,
1618,50165,255352.816434,14.4421157471,,,,,
1619,50166,45736.1468742,6.38586772665,,,,,
1620,50167,283858.873054,11.0259333426,,,,,
1621,50168,671477.262808,11.8700699434,,,,,
1622,50169,749557.088023,12.0421827494,,,,,
1623,50171,497118.660697,11.2509925433,3.0,281.675684,0.0106505466052,1120334.28,12.0391486563
1659,50173,239827.35026,8.66993618375,,,,,
1660,50174,376704.164545,10.7592840773,,,,,
1661,50201,807051.429512,12.633022681,5.0,300.453642,0.0166415023852,1820068.8,14.2846217889
1721,50206,1482944.6543,14.7394947033,,,,,
1722,50207,515321.055954,11.5884121154,1.0,366.588282,0.00272785587838,333842.3,13.4063521513
1733,50208,2121155.46852,13.4224842149,6.0,426.046663,0.0140829644287,632678.4,12.8125356928
1802,50211,1595689.31265,13.3784200438,5.0,147.182178,0.0339715043488,1655237.4,15.0047700167
1862,50212,818148.055004,12.3462877277,2.0,352.230522,0.00567809963953,868193.91,12.093900561
1883,50213,945183.385494,12.6468803762,6.0,543.975469,0.0110299091447,978850.74,14.5176877316
1951,50214,44811.1529512,7.69890783784,,,,,
1952,50216,1366382.35515,13.2755808933,2.0,145.699881,0.0137268471757,805620.24,13.9602869619
1976,50217,651696.633404,12.4076225914,,,,,
1977,50218,816012.579647,12.4305243634,,,,,
1978,50219,848112.211223,11.1375993103,3.0,317.144262,0.0094594175568,1070491.32,13.010643899
2014,50222,686898.113685,12.2301349209,,,,,
2015,50223,619863.82667,10.8784511044,,,,,
2016,50225,487834.766029,11.5955696097,1.0,217.246336,0.0046030695772,773641.44,13.5964721365
2028,50226,963563.097732,13.7899552833,3.0,109.873855,0.0273040387998,816231.58,14.0451585483
2062,50227,852706.161599,8.93445548429,,,,,
2063,50228,856949.216884,12.6649999253,1.0,180.367188,0.00554424566402,285884.16,12.6321906731
2075,50229,303099.600267,8.83972893856,,,,,
2076,50231,351138.129438,22.2233648786,,,,,
2077,50232,484328.865139,12.1705242711,,,,,
2078,50233,738829.149363,12.2097068224,,,,,
2079,50234,377977.829427,11.5453761279,,,,,
2080,50235,641523.748639,12.5246565002,,,,,
2081,50236,88940.7931705,7.92669787189,,,,,
2082,50237,420044.822192,10.085162143,,,,,
2083,50238,627626.50666,11.4662786217,,,,,
2084,50239,582682.6512,11.4210997231,,,,,
2085,50242,759928.816908,12.7918358751,,,,,
2086,50243,615295.507269,12.1653816686,,,,,
2087,50244,415043.722796,12.7523097122,1.0,57.130248,0.0175038624023,1133341.2,13.7214623813
2111,50246,663819.871384,11.9624199147,,,,,
2112,50247,343655.967239,11.3664556392,2.0,215.968634,0.00926060401901,521666.36,11.1755155379
2128,50248,684277.757551,11.3466998158,5.0,211.580755,0.0236316388983,2689099.06,12.0837817851
2187,50249,353304.711586,11.0777627042,1.0,202.332923,0.00494234939709,496567.32,11.6082131526
2199,50251,953368.113211,12.2774099936,1.0,104.817095,0.00954042849594,66939.7,14.8211446917
2204,50252,76968.2085627,6.80456559565,,,,,
2205,50254,5480.19032118,0.966459869166,,,,,
2206,50256,854694.707938,12.3868940285,,,,,
2207,50257,344630.75459,11.4933271516,,,,,
2208,50258,739198.45823,12.0175183352,,,,,
