,Store,Name,Store Status,Address,City,State,Zip Code,Report Date,Latitude,Longitude
67,2555,Hy-Vee Food Store / Keokuk,A,3111 Main,Keokuk,IA,52632,10/01/2016,40.415171,-91.403539
68,2556,Hy-Vee Wine and Spirits / Estherville,A,2608 E. Central Avenue,Estherville,IA,51334,10/01/2016,,
69,2558,Hy-Vee Food Store / Mount Pleasant,A,1700 E Washington,Mount Pleasant,IA,52641,10/01/2016,40.962365,-91.528983
70,2559,Hy-Vee Food Store / Albia,A,301 Hwy. 34 West,Albia,IA,52531,10/01/2016,41.015468,-92.810548
71,2560,Hy-Vee Food Store / Marion,A,3600 Business Hwy 151 East,Marion,IA,52302,10/01/2016,,
72,2561,Hy-Vee Food Store / Fleur / DSM,A,4605 Fleur Drive,Des Moines,IA,50321,10/01/2016,41.542748,-93.644943
73,2562,Hy-Vee Food Store / Fort Dodge,A,115 South 29th St,Fort Dodge,IA,50501,10/01/2016,42.504742,-94.158247
74,2564,Hy-Vee Food Store #4 / Waterloo,A,4000 University,Waterloo,IA,50701,10/01/2016,42.505197,-92.403843
75,2565,Hy-Vee Food Store / Spencer,A,819 N Grand Ave,Spencer,IA,51301,10/01/2016,43.145897,-95.14506
76,2566,Hy-Vee Food Store / Knoxville,A,813 N Lincoln Ste 1,Knoxville,IA,50138,10/01/2016,41.32788,-93.109519
77,2567,Hy-Vee Drugstore / Davenport,A,2200 West Kimberly,Davenport,IA,52806,10/01/2016,41.560663,-90.608201
78,2568,Hy-Vee Food Store #4 / Cedar Rapids,A,1556 First Avenue NE,Cedar Rapids,IA,52402,10/01/2016,41.98888,-91.650913
79,2569,Hy-Vee Food Store #2 / Cedar Rapids,A,279 Collins Road NE,Cedar Rapids,IA,52402,10/01/2016,42.027806,-91.630739
80,2571,Hy-Vee Food Store #2 / Waterloo,A,2181 Logan Ave,Waterloo,IA,50703,10/01/2016,42.530476,-92.337583
81,2572,Hy-Vee Food Store / Cedar Falls,A,6301 University,Cedar Falls,IA,50613,10/01/2016,42.512773,-92.433485
82,2573,Hy-Vee Food Store / Muscatine,A,2400 2nd Ave,Muscatine,IA,52761,10/01/2016,41.45135,-91.035137
83,2575,Hy-Vee Food Store #1 / Waterloo,A,2834 Ansborough Ave,Waterloo,IA,50702,10/01/2016,42.471767,-92.376624
84,2576,Hy-Vee Wine and Spirits / Storm Lake,A,1250 N Lake St,Storm Lake,IA,50588,10/01/2016,42.653184,-95.200758
85,2578,Hy-Vee / Charles City,A,901 Kelly St,Charles City,IA,50616,10/01/2016,43.066932,-92.675436
86,2579,Hy-Vee Food Store / Grinnell,A,320 West Street South,Grinnell,IA,50112,10/01/2016,41.7283,-92.727343
87,2582,Hy-Vee #2 Food Store / Mason City,A,551 S Illinois Ave,Mason City,IA,50401,10/01/2016,43.146805,-93.17113
88,2584,Hy-Vee Food Store / Fort Madison,A,2606 Avenue L,Fort Madison,IA,52627,10/01/2016,40.626988,-91.343544
89,2585,Hy-Vee Wine and Spirits / Algona,A,1516 Highway 169 North,Algona,IA,50511,10/01/2016,43.081288,-94.236003
90,2587,Hy-Vee Food Store / Johnston,A,5750 Merle Hay Road,Johnston,IA,50131,10/01/2016,41.664692,-93.697737
91,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,A,4035 Mt. Vernon Road S.E.,Cedar Rapids,IA,52403,10/01/2016,41.976835,-91.60978
