,Zip Code,City,County,State,County Number,Area (sqkm),Year,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+,Predicted Total Sales,Predicted Dollar/Litre
463,51366,WEBB,Clay,IA,21,163.894539,2016,-0.430304765638,-0.228780724199,-0.600113025428,-0.435372028573,-0.181578768687,-0.207602029979,-0.224497379314,-0.279178821552,-0.241263539086,-0.343694039804,-0.271615900832,0.240324409718,-0.402806082459,-0.448728871839,-0.304017335781,-0.313861061908,-0.390303668957,-0.429975189456,-0.436401209887,-0.427078796978,-0.482395130356,-0.428213857781,-0.424630371603,-0.447338587222,-0.544556467376,-0.406829308445,-0.790217088878,-0.427885521478,-0.434811488943,-0.375284232217,-0.423231630125,-0.439336458974,-0.448859220865,-0.375900386138,-0.38290568746,-0.398901285831,-0.208809929176,0.113558362982,-0.424952254224,1.19523669281,0.385823356157,13787.2797158,12.4321015515
464,51401,CARROLL,Carroll,IA,14,454.121,2016,1.49702166259,0.23044995023,0.54517731545,1.63380977734,-0.131444961341,0.0126624343751,0.0917923878387,-0.0166013174362,-0.0455876809826,0.107519200656,-0.0662342189715,-0.186533864198,1.35580215804,1.84124942281,0.645300575991,0.72298933972,1.0876499462,1.53262254298,1.37149201029,1.29208333357,1.51325640097,2.03434336038,2.13507092942,2.10242559373,0.354308555047,1.48647565955,0.728060994014,1.51033007235,1.54592907428,1.33674505827,1.50556166428,1.54052173824,1.62703042869,1.10212607899,1.40098264405,1.59004364371,-0.208809929176,0.363713624054,1.50765660165,-0.0457151489877,0.54459338372,1047311.94207,12.3589840937
465,51431,ARTHUR,Ida,IA,47,101.935208,2016,-0.427050520931,-0.765156690319,-0.740789206608,-0.432539473055,-0.181578768687,-0.232075859352,-0.224497379314,-0.279178821552,-0.241263539086,-0.292419807934,-0.274775619015,0.541636132483,-0.43179413038,-0.432121454714,-0.304017335781,-0.292011723942,-0.399598974713,-0.426715060332,-0.42790204767,-0.45537776209,-0.430671980516,-0.449899782402,-0.399097191543,-0.462561059945,-0.0761338500567,-0.408862933544,-0.584115991653,-0.428663140573,-0.431847195972,-0.37152153048,-0.419952763496,-0.438698000993,-0.445637040578,-0.383679472797,-0.375125489129,-0.384724914273,-0.208809929176,0.66389993734,-0.424443940479,0.367935464946,-0.532774660458,-9095.04827678,12.339664226
466,51433,AUBURN,Sac,IA,81,147.355553,2016,-0.38149109502,0.53880354976,0.60129679381,-0.382969751489,-0.181578768687,-0.232075859352,-0.218529647858,-0.279178821552,-0.241263539086,-0.302674654308,-0.26845618265,-0.0860966232768,-0.371402363879,-0.396138717611,-0.260669485929,-0.236395227303,-0.368227317787,-0.373466284646,-0.390262900708,-0.427078796978,-0.370328305703,-0.387251555717,-0.399097191543,-0.363614987251,0.303668272094,-0.371579806713,-0.66999144883,-0.382005994884,-0.383232791248,-0.340165682669,-0.376097922336,-0.390175194483,-0.402137606711,-0.329225866187,-0.340670325094,-0.354954534002,0.068337795003,0.413744676268,-0.379204017236,-0.806832278626,-0.691544688021,71856.5158289,12.3822222821
467,51436,BREDA,Carroll,IA,14,156.790205,2016,-0.35252831712,-0.324927879772,-0.292085036583,-0.351811640791,-0.176008345649,-0.207602029979,-0.212561916402,-0.279178821552,-0.241263539086,-0.323184347056,-0.265296464467,0.0645592381056,-0.352076998599,-0.33709012339,-0.273673840885,-0.268176082525,-0.347312879837,-0.341951703117,-0.35626625184,-0.366943496115,-0.413430930569,-0.348698800834,-0.335264241393,-0.28750262364,0.189727635449,-0.339719680148,0.130367812061,-0.355178136113,-0.347068417002,-0.323860641807,-0.345768406019,-0.356975379502,-0.355415992557,-0.352563126163,-0.316218273198,-0.319513605108,-0.0240447797233,0.563837832911,-0.350907885469,0.0204689492417,0.181690463576,206972.747806,13.0448713313
468,51439,CHARTER OAK,Crawford,IA,24,223.476837,2016,-0.32145028016,-0.513239764356,-0.414641924301,-0.317289870415,-0.181578768687,-0.232075859352,-0.212561916402,-0.279178821552,-0.23514866852,-0.343694039804,-0.249497873555,0.692291993866,-0.320673280019,-0.327863780542,-0.262836878421,-0.248313048012,-0.329884181545,-0.332171315746,-0.33198293122,-0.267897118224,-0.28412305597,-0.276412385429,-0.252281406197,-0.325558805446,-0.886378377311,-0.286167552518,-1.01692829583,-0.300744799476,-0.300825446654,-0.284979390521,-0.301093848202,-0.318029442698,-0.315138738976,-0.317557236199,-0.262868341788,-0.252884658787,-0.809296664897,-0.336721106947,-0.32108681247,-1.0881146961,-0.305960335368,29725.9086141,12.5675591871
469,51441,DELOIT,Crawford,IA,24,40.266915,2016,-0.437464103996,0.0318975402003,-0.595331545209,-0.446171146485,-0.181578768687,-0.183128200606,-0.230465110769,-0.279178821552,-0.19234457456,-0.251400422437,-0.23053956446,-0.111205933507,-0.42937845972,-0.450574140409,-0.295347765811,-0.297970634296,-0.399598974713,-0.449535964198,-0.416974553391,-0.434153538256,-0.452223292949,-0.461947518303,-0.482080026738,-0.493006005389,0.341648484309,-0.406829308445,-0.515415625911,-0.44110504609,-0.445482943639,-0.385318103517,-0.433887946669,-0.447636412719,-0.470608937798,-0.337004952846,-0.397354627216,-0.421583480323,0.391676806545,-0.286690054733,-0.433763025792,-1.58449543282,-1.1451733382,97811.2390417,12.4657823682
470,51442,DENISON,Crawford,IA,24,448.677639,2016,0.943149213316,-0.514036249669,-0.573689055796,0.880350009549,0.15821703666,0.575560509947,0.169372896763,-0.0166013174362,4.03914585692,0.558732441115,4.03823970006,-0.713829379037,0.978957535073,1.07915350364,0.656137538454,0.542235725643,0.813438426407,0.881683427959,0.802048141747,0.963107864143,0.853786240508,1.00064762007,1.22864303729,1.54680533937,-0.240714769655,0.695395495696,0.298683708128,0.851297889491,0.773434326034,0.904034358476,0.830115138741,0.887379224295,0.899623229022,0.631491336146,0.706322078818,0.767814093366,0.253102944456,0.413744676268,0.945122724608,-1.66722555561,0.0909647335398,469483.581702,13.4946859355
471,51443,GLIDDEN,Carroll,IA,14,276.442701,2016,-0.193721175377,0.0207467458262,-0.0895012694091,-0.179910927791,-0.176008345649,-0.158654371234,-0.212561916402,-0.279178821552,-0.241263539086,-0.292419807934,-0.265296464467,-0.111205933507,-0.255450172198,-0.167325415003,-0.167471608746,-0.18872394447,-0.198587987746,-0.148517375114,-0.157143022754,-0.183000222888,-0.20653833121,-0.230630989005,-0.162915275987,-0.363614987251,-0.177414415963,-0.179063297257,0.0960176291902,-0.207041698551,-0.197075192669,-0.208471121862,-0.204367282652,-0.206299296128,-0.199945793735,-0.243655912943,-0.195069470622,-0.186255712466,-0.11642735445,0.263651519625,-0.201294206727,-0.326997566463,-0.147190307805,69627.5074406,12.7082089035
472,51444,HALBUR,Carroll,IA,14,0.42223,2016,-0.457640421184,0.790492908491,-0.0145075270269,-0.464759792072,-0.181578768687,-0.232075859352,-0.230465110769,-0.279178821552,-0.241263539086,-0.343694039804,-0.274775619015,-0.88959455065,-0.422131447739,-0.477330534665,-0.304017335781,-0.305915848102,-0.40540854081,-0.454969512737,-0.481325353034,-0.458915132729,-0.508256705276,-0.483633442925,-0.472505084216,-0.50061724175,1.07593258713,-0.412930183744,-0.120388522896,-0.461711952103,-0.457932974117,-0.412911249591,-0.451511854799,-0.470620900013,-0.482692113873,-0.387569016126,-0.405134825547,-0.421583480323,-0.11642735445,0.613868885125,-0.455789954712,0.169383170258,-0.521433944203,176178.515983,12.697195997
