,Zip Code,Predicted Total Sales,Predicted Dollar/liter,Store Count,Area (sqkm),Stores per sqkm,Zip Sales - Total,Dollar per liter
3833,50424,222677.531607,13.0893982885,2.0,315.854649,0.00633202647589,81001.62,11.9244534735
3852,50426,151376.92507,16.3985475323,,,,,
3853,50428,1282549.72241,13.9514659689,4.0,316.380154,0.0126430180573,1925031.6,13.6142504704
3901,50431,214968.736949,20.163058272,,,,,
3902,50432,286679.420069,14.2650857179,,,,,
3903,50433,100987.76683,20.6171014321,,,,,
3904,50434,-28415.9116535,-24.2801022794,,,,,
3905,50435,-30699.0195136,8.63561353066,1.0,105.304339,0.00949628485869,186347.64,14.8799083958
3917,50436,406757.758499,13.6316720838,2.0,354.034151,0.00564917252856,676827.72,11.7766597833
3941,50438,422685.409504,12.7419443053,1.0,342.63578,0.0029185510048,188554.8,10.3187653916
3953,50439,56392.1847237,17.3714802624,,,,,
3954,50441,469760.204275,13.4825476268,4.0,395.662654,0.0101096223249,578120.7,12.4751590089
3999,50444,137930.948736,12.2801310085,,,,,
4000,50446,276902.281426,11.4478242659,,,,,
4001,50447,54921.7230175,16.3688904953,,,,,
4002,50448,208666.615739,10.9787769487,,,,,
4003,50449,242304.504827,11.1495463079,,,,,
4004,50451,153271.853883,13.2935602983,,,,,
4005,50452,-61619.4425246,6.17472839789,1.0,127.424687,0.00784777285739,6198.12,9.06157894737
4011,50453,93431.1805315,6.89465155158,,,,,
4012,50454,-57514.61839,-10.2889815836,,,,,
4013,50455,-4909.51634741,3.60683729501,,,,,
4014,50456,299163.599871,13.4313180628,1.0,120.430473,0.00830354622953,22051.4,12.6951065055
4024,50457,81574.230925,8.07814779319,,,,,
4025,50458,204414.551643,12.8286700618,1.0,190.798489,0.00524113165278,47176.25,13.8409281611
4036,50459,340171.411117,12.4920378691,2.0,375.483499,0.00532646575769,283514.88,11.2801875397
4060,50461,760654.1006,13.1105562331,2.0,446.474922,0.00447953491103,303706.92,11.4377112746
4084,50464,8191.4367224,2.38557605277,,,,,
4085,50465,314160.609201,12.3163063042,,,,,
4086,50466,217792.113959,13.7800508374,1.0,354.341172,0.00282213888484,25681.59,11.7027067669
4097,50468,139057.872861,13.7395111601,,,,,
4098,50469,65817.041634,11.8592318473,1.0,227.879604,0.00438828215622,92652.96,12.1904731831
4110,50471,132429.955912,24.6048323055,,,,,
4111,50472,90560.878719,13.5054057093,2.0,316.41701,0.00632077270435,150380.76,11.8601490595
4129,50473,-41732.9122329,11.4619152984,,,,,
4130,50475,93450.0785019,11.8117735746,1.0,231.102519,0.00432708394667,25275.78,11.5572839506
4139,50476,34201.7445754,12.3822518953,,,,,
4140,50477,32118.8294821,18.3711078915,,,,,
4141,50478,287291.541732,12.2463960012,,,,,
4142,50479,43477.7395402,-317.838164627,,,,,
4143,50482,212158.1756,22.2884484302,,,,,
4144,50483,74927.9052468,25.9062161791,1.0,198.210428,0.00504514323535,278922.12,13.7302391796
4156,50484,118464.542828,20.0895021819,,,,,
4157,50501,3047421.22361,13.4614696751,15.0,407.21578,0.0368355077006,2961110.86,12.1759572541
4320,50511,668542.955685,12.4121449464,3.0,321.723723,0.0093247708687,1374870.36,12.5346020458
4356,50514,116530.450846,11.7568230366,1.0,287.766282,0.00347504229144,21164.4,10.8535384615
4366,50515,16159.3908649,7.45478057913,,,,,
4367,50516,237190.009423,14.1960023724,,,,,
4368,50517,126323.54633,12.0750865541,1.0,198.110964,0.00504767621039,393926.4,14.1339981142
4380,50518,73578.0972548,21.5329764332,,,,,
4381,50519,-47167.7527754,7.05128679697,,,,,
4382,50521,-257274.742506,9.14486908474,,,,,
4383,50522,28713.3680578,7.94717206152,,,,,
4384,50523,94636.2288745,13.6508060504,,,,,
4385,50524,26134.4015545,-35.3469395581,,,,,
4386,50525,296247.91348,12.3108063684,3.0,363.773781,0.00824688352127,142722.17,12.1796860399
4416,50527,-63776.2869717,13.6509911142,,,,,
4417,50528,116247.01835,15.0217611319,,,,,
4418,50529,406086.371463,12.7355431894,1.0,1.445412,0.691844263089,15783.36,9.85967016492
4426,50531,51497.9494261,11.0066145112,,,,,
4427,50532,130804.917781,12.5970247065,,,,,
