Urban Area,100% Composite Index,13 % Grocery Items,29 % Housing,10% Utilities,12 % Transportation,4% Health Care,32 % Miscellaneous Goods and Services,Region,State
"Cape, Coral-Fort, Myers, FL",95.6,107.9,87.5,83.7,103,98.7,98.9,SE,FL
"Carlsbad, NM",95.4,102.6,86.6,99.3,95.3,96,98.9,SW,NM
"Cedar, City, UT",88.7,102.5,73.9,83.7,97.8,85.5,95.5,W,UT
"Cedar, Rapids, IA",92,94.8,79.1,101.6,97.1,94.4,97.5,MW,IA
"Champaign-Urbana, IL",96.9,98.5,90.8,97.1,98.2,100.5,100.7,MW,IL
"Chapel, Hill, NC",113,100.9,127,85.7,122.8,105.8,112.1,SE,NC
"Charleston, WV",92.7,88.8,89.3,96.7,102.9,93.9,92.9,SE,WV
"Charleston-N, Charleston, SC",98.3,105.7,92.6,96.6,93.9,104.4,101.5,SE,SC
"Charlotte, NC",93.2,97.1,79.5,91.2,95.7,110.3,101.4,SE,NC
"Charlottesville, VA",107,101.2,122.6,100.8,90.6,94.5,104,SE,VA
"Chattanooga, TN",91.1,97.4,84,82.5,96.4,93.3,95.7,SE,TN
"Cheyenne, WY",100.5,101.7,107.9,96.3,95,98.3,96.5,W,WY
"Chicago, IL",116.9,111.2,134.8,117.3,116.5,108.5,104.4,MW,IL
"Cincinnati, OH",93.8,96.4,81.9,103.8,98,95.8,98.7,MW,OH
"Clarksburg, WV",95,95.2,93.1,92.2,103.8,89.5,95.5,SE,WV
"Clarksville, TN",93,87.9,86,86.5,93.9,98.7,102.3,SE,TN
"Cleveland, OH",101,108.1,93.3,109,101.4,104.3,102.1,MW,OH
"Cleveland, TN",93.4,101.6,87.7,103.4,91.9,91.3,92.9,SE,TN
"Colorado, Springs, CO",92.8,95.4,92,86.8,96.2,102.3,92.1,W,CO
"Columbia, MO",91.8,92.6,81.4,90.4,96.3,96.4,99.1,MW,MO
"Columbia, SC",100.4,105.2,82.3,109,102,106.2,110.6,SE,SC
"Columbus, OH",92,91.6,86.2,100.2,99.1,107.7,90.6,MW,OH
"Conroe, TX",91.4,89.4,80.1,96.1,93.8,95,99.7,S,TX
"Conway, AR",86.6,97.9,78.8,92,96.6,89.8,84,S,AR
"Cookeville, TN",85.7,86.7,71.4,82.9,87.5,87.1,98.2,SE,TN
"Corpus, Christi, TX",90.8,82.4,79.6,113.5,93.3,92.8,96,S,TX
"Covington, KY",87.8,86,76.8,100.2,99.9,90.6,90.3,SE,KY
"Dallas, TX",91.9,96.2,70.7,105.5,100.9,103.8,100.4,S,TX
"Danville, IL",91.1,94.6,74.2,116.4,109.3,95.8,90.7,MW,IL
"Dare, County, NC",107.3,111.7,116.7,92.9,110.2,111.7,100.4,SE,NC
"Davenport-Moline-Rock, Is, IA-IL",96.8,98.7,98.7,81.4,104.3,97.9,96.8,MW,IL
"Dayton, OH",91.4,89.2,74.5,106.1,103.1,93.2,99,MW,OH
"Decatur, IL",91.4,89.1,88.2,92.2,96.7,91.9,93.3,MW,IL
"Decatur-Hartselle, AL",89.2,98.5,74.2,90.6,96.7,85.5,96.6,SE,AL
"Denver, CO",103.2,101,107.5,101.9,95.4,105.9,102.7,W,CO
"Des, Moines, IA",90.9,90.9,89.6,90.2,95.9,90.8,90.9,MW,IA
"Detroit, MI",99.4,92.7,95.2,129.5,101.3,94.2,96.6,MW,MI
"Dodge, City, KS",89.3,90,77.6,85.5,95.6,89.9,98.5,MW,KS
"Dothan, AL",89.8,100.3,80.1,79.7,91.8,81.7,97.9,SE,AL
"Douglas, GA",88.6,104.1,68.5,97.9,89.3,91.3,96.6,SE,GA
"Dover, DE",99.7,110.4,90.9,108.8,97.5,103,100.7,NE,DE
"Dubuque, IA",95.9,98.1,86.5,105.2,99.5,96.5,99.5,MW,IA
"Durham, NC",96.6,97.9,86.8,96.3,105.5,108.5,100.6,SE,NC
"Dutchess, County, NY",120.4,109.8,141.3,118.8,109.3,110.4,111.1,NE,NY
"Dyersburg, TN",88.6,93.4,73.8,95.2,92.9,86.3,96.7,SE,TN
"Eau, Claire, WI",93.7,97.6,90.5,84.8,103.1,105.5,93.5,MW,WI
"Edmond, OK",91.6,88.7,82.8,90.2,97.7,94.3,98.9,MW,OK
"El, Paso, TX",90.4,99.9,86,88.1,97,95.4,88.5,S,TX
"Elkhart-Goshen, IN",94,91.4,92.7,84.5,99.7,92.8,97.5,MW,IN
"Enid, OK",93.6,103.5,77.4,96.1,99.5,99.5,100.7,MW,OK
"Erie, PA",92.1,96.4,91.1,96,98.4,91.2,88.4,NE,PA
"Eugene, OR",109.8,93.8,132.3,85.3,110,118.2,102.9,NW,OR
"Evansville, IN",96.2,97.9,86.3,120,97.1,97.4,96.4,MW,IN
"Everett, WA",111.3,112,128.1,85.4,110.4,129.1,102.1,NW,WA
"Fairbanks, AK",137.4,127.9,148.5,193.1,118.7,144.9,118.8,S,AK
"Fargo-Moorhead, ND-MN",92.7,99.8,87.4,78.7,95.8,102.4,96.6,MW,MN
"Farmington, NM",97,101.8,97.1,87.1,96.4,98.6,98.2,SW,NM
"Fayetteville, AR",92.1,95.3,77.3,99.8,95.2,92.7,100.6,S,AR
"Fayetteville, NC",95.2,105.1,82.5,92.8,96,117.9,100.1,SE,NC
"Findlay, OH",94.3,102.3,77,95.8,100.6,91.2,104.3,MW,OH
"Fitchburg-Leominster, MA",103.3,99.3,97.1,140.6,99.9,112.3,98.6,NE,MA
"Flagstaff, AZ",114.9,106.6,149.3,92.5,105.5,100,99.5,SW,AZ
"Florence, AL",90.2,96.6,79.6,91,94.5,84.1,96.3,SE,AL
"Fort, Lauderdale, FL",115.7,112.5,144,92.5,106.3,102.4,103.7,SE,FL
"Fort, Smith, AR",86.1,92.5,74.5,90.5,87.9,87.5,91.7,S,AR
"Fort, Wayne-Allen, County, IN",94.4,93.3,89.3,87.3,106.9,93.4,98,MW,IN
"Fort, Worth, TX",91.1,89.8,78,106.2,97.6,93.8,96.1,S,TX
"Framingham-Natick, MA",134.5,109.4,177.2,131.9,105,116.1,118.8,NE,MA
"Fresno, CA",117.3,115.8,131.2,123.6,114.5,106.8,105.9,W,CA
"Gainesville, FL",99.8,106.3,101.8,99.2,103.3,92.7,95.5,SE,FL
"Galesburg, IL",93,99.7,80,103.1,96.1,97.3,97.2,MW,IL
"Garden, City, KS",89.7,91.2,79.9,86.5,94,89.6,97.5,MW,KS
"Glens, Falls, NY",112.3,105.4,105.9,128,107,97.3,119.3,NE,NY
"Glenwood, Springs, CO",124,103.3,169,89,110.9,112,108.7,W,CO
"Grand, Junction, CO",98.3,101.9,105.4,86.4,99.1,103.8,93.1,W,CO
"Grand, Rapids, MI",90.7,102.7,77.6,100.6,103.7,94.4,90,MW,MI
"Green, Bay, WI",95.1,88.8,83.5,118.6,100.2,105.9,97.7,MW,WI
"Greenville, NC",98.5,105.9,84.4,108.5,97.6,113.5,103.3,SE,NC
"Greenville, SC",90.3,102.7,72.9,90.1,97.1,98.2,97.7,SE,SC
"Gunnison, CO",110,110.6,134.5,85.7,99,97.3,100.6,W,CO
"Hammond, LA",95.9,99,95.8,84.8,93,97.4,98.9,SE,LA
"Hampton, Roads-SE, Virginia, VA",111.7,106.6,121.9,108.4,104.1,109.6,108.4,SE,VA
"Harlingen, TX",82.8,81.5,75.8,105.6,88.7,95.2,79.1,S,TX
"Harrisburg, PA",99.7,97.8,91.5,110.5,100.2,93.8,105.1,NE,PA
"Harrisonburg, VA",97,97.5,96.8,96.8,90.4,100.8,98.6,SE,VA
"Hartford, CT",121.8,120.7,137.8,120.7,109,113,113.5,NE,CT
"Hastings, NE",93.4,103.7,89.1,94,87.6,85.8,95.6,MW,NE
"Hattiesburg, MS",91.9,100.5,74.6,110.3,96.9,95.4,96.2,S,MS
"Hays, KS",89.4,92,78.8,92.4,97.5,90.7,94.2,MW,KS
"Hickory, NC",92.9,101.1,91.3,92.3,86.5,93.8,93,SE,NC
"Hilton, Head, Island, SC",114.1,111.4,119.8,100.4,101.6,110.7,118.5,SE,SC
"Honolulu, HI",165.7,160.1,249,146.6,126.2,120,117.9,SW,HI
"Hot, Springs, AR",93.8,97.3,85.3,95.7,85.6,84.8,102.9,S,AR
"Houston, TX",92.2,85.1,82,97.7,99.2,94.6,99.9,S,TX
"Huntsville, AL",91.2,94.9,78.7,86.1,99.7,92,99.8,SE,AL
"Hutchinson, KS",94,89,92.3,84.4,96.5,94.2,99.6,MW,KS
"Idaho, Falls, ID",90.6,99.5,78,84.9,102.1,93.2,96.3,NW,ID
"Indiana, County, PA",93.3,99.7,84.2,97.7,97.7,91.1,96.4,NE,PA
"Indianapolis, IN",87.2,91.4,73.4,86.7,100.5,93.6,93.1,MW,IN
"Iowa, City, IA",96.2,94.9,97.3,80.1,102.8,95.4,99,MW,IA
"Ithaca, NY",102.8,102.9,104.4,110.4,104.7,106.6,98.1,NE,NY
"Jackson, MS",96.9,93,94,118.1,92,95.7,96.1,S,MS
"Jackson-Madison, County, TN",90.2,91.1,74.2,98.9,100,91.5,98.1,SE,TN
"Jacksonville, FL",92.9,102.8,80,91.9,103.6,94.5,97.3,SE,FL
"Jacksonville, NC",96.5,103.2,88,99.2,97.8,101.2,99.6,SE,NC
"Janesville, WI",96.2,95,91.3,99.3,99.3,103.1,98.2,MW,WI
"Jefferson, City, MO",92.9,93.9,78.5,97.6,93.3,95,103.4,MW,MO
"Johnson, City, TN",86.7,92.3,74.4,89.1,91.7,91.5,92.6,SE,TN
"Johnstown, PA",92.9,97.7,79.4,101,101.6,90.4,98.1,NE,PA
"Joliet-Will, County, IL",102.2,100.9,102.3,116.1,111.3,106.5,95.2,MW,IL
"Jonesboro, AR",88.9,97.5,75.1,91.1,88.8,85.9,97.3,S,AR
"Joplin, MO",88.8,92.2,75.9,108.1,91.8,89.5,92,MW,MO
"Juneau, AK",136.5,133.1,165.7,135.1,121.2,144.4,116.1,S,AK
"Kalamazoo, MI",91.2,95.6,81.3,101.8,99.4,92.5,92.4,MW,MI
"Kalispell, MT",98.8,116.3,95.5,82,103.6,104.8,97.8,W,MT
"Kansas, City, MO-KS",97.8,94.8,89.2,99.8,100.8,97.2,105.1,MW,KS
"Kennewick-Richland-Pasco, WA",92.6,90.9,85.9,85.1,106.1,109.9,95.2,NW,WA
"Kinston, NC",93.8,102.5,76.1,108.8,96.7,102.9,99.3,SE,NC
"Knoxville, TN",89.4,91.4,82,95.1,84.2,88.4,95.1,SE,TN
"Kodiak, AK",128.7,149.4,127.8,131.9,143.4,130.7,115.4,S,AK
"Lafayette, IN",98.2,95.6,82.4,116.5,106.2,116.3,102.7,MW,IN
"Lafayette, LA",99.2,93.5,110.1,81.2,104,88.8,97.3,SE,LA
"Lake, Charles, LA",97.4,99.8,103.4,89.5,97.1,84.4,95.4,SE,LA
"Lake, Havasu, City, AZ",111.8,107,139.3,95.9,93.5,98,101.7,SW,AZ
"Lancaster, PA",106.8,101.3,118.4,111,99.7,95.1,100.9,NE,PA
"Laramie, WY",97,105.1,102.3,90.5,91.6,97.5,92.7,W,WY
"Las, Cruces, NM",100.6,103.7,104.4,93.7,99,96.5,99.1,SW,NM
"Las, Vegas, NV",101.9,106.8,94.1,97.7,104.9,109,106.2,W,NV
"Lawrence, KS",94.6,89.1,96,91.9,96.2,97.5,95.6,MW,KS
"Lawton, OK",93.8,96.3,87,87.5,106.9,96.2,96.6,MW,OK
"Lexington, KY",92.8,86.9,88.7,93.9,97.6,93.7,97.1,SE,KY
"Lexington-Buena, Vista-Rockbridge, VA",93.7,92.1,97.8,94.3,91.2,90.7,91.7,SE,VA
"Lima, OH",93.1,101.9,69.8,102.5,100.7,107.7,103.2,MW,OH
"Little, Rock-North, Little, Rock, AR",96.5,92.9,92.2,104.1,94,93.5,100.4,S,AR
"Logan, UT",95.6,104.7,68.4,85.3,113.6,97.2,113.7,W,UT
"Los, Alamos, NM",109.7,97.1,128.1,91.2,110.7,102.6,104.7,SW,NM
"Los, Angeles-Long, Beach, CA",136.4,106,207.1,101.7,113.6,109.1,107,W,CA
"Louisville, KY",87.7,81.6,78.7,99.1,96.9,87.2,91.9,SE,KY
"Loveland, CO",91,102.7,79.3,89.6,91.4,100.3,95.7,W,CO
"Lubbock, TX",89.1,90,80.4,74.8,97.6,98.3,97.1,S,TX
"Lufkin, TX",92.4,87.8,83.4,98.7,94,105.5,98.3,S,TX
"Lynchburg, VA",95.1,90.7,92.7,109.7,88.8,100.1,95.8,SE,VA
"Manchester, NH",116.8,102.3,117,124.5,100.1,116.1,125,NE,NH
"Manhattan, KS",95,92.5,98.7,86.9,99,91.6,94.4,MW,KS
"Mankato, MN",93,93.8,76.5,113.5,103.1,104.3,96.4,MW,MN
"Marietta, GA",94.8,96.8,84.7,90.3,97.1,107.9,101.9,SE,GA
"Marion-McDowell, County, NC",92.1,103.1,87.9,94,89.5,96.3,90.9,SE,NC
"Marshfield, WI",94.2,95.3,92.2,99.9,96.8,103.6,91.7,MW,WI
"Martinsburg-Berkeley, County, WV",89.6,91.5,82.7,85.9,103.9,99.9,90.6,SE,WV
"Martinsville-Henry, County, VA",87.1,94,77.6,89.1,82.9,87.6,93.2,SE,VA
"Mason, City, IA",89.1,89.4,73.1,105.6,99.5,94.8,94.2,MW,IA
"McAllen, TX",85,79.8,77.6,103.1,92.4,97.9,84.3,S,TX
"Memphis, TN",88.2,92.7,76.2,86.9,91.5,98.6,95.2,SE,TN
"Miami-Dade, County, FL",106,110.9,107.7,91.9,108.8,105.7,106.2,SE,FL
"Middlesex-Monmouth, NJ",124.8,108.9,154.1,128.6,103.9,108.9,112.2,NE,NJ
"Midland, TX",93.2,89.7,89.2,93.4,95.7,98.7,96.6,S,TX
"Milwaukee-Waukesha, WI",101.9,98.1,112.7,98.6,99.2,108.1,94.8,MW,WI
"Minneapolis, MN",111,111.6,116.8,104.7,103.7,105.4,110.4,MW,MN
"Minot, ND",99.9,99.3,95.9,73.5,98.2,91,113.6,MW,ND
"Missoula, MT",99.4,110.2,92.2,98.3,102.2,107.2,100.1,W,MT
"Mobile, AL",92.7,102.7,80.4,104.4,93,86.5,96.7,SE,AL
"Monroe, LA",92.7,95.8,83,89.1,97.5,96,99.3,SE,LA
"Montgomery, AL",99.2,102.9,96,108.4,99.6,88,99.1,SE,AL
"Morgantown, WV",100.6,93.9,111.9,89.9,100.7,96.1,97.1,SE,WV
"Morristown, TN",90.9,91.6,81.5,80.5,93.9,90.1,101.4,SE,TN
"Muncie, IN",91,91,80.3,98.5,94.5,87.4,97.6,MW,IN
"Murfreesboro-Smyrna, TN",88.2,94.3,76.2,81,92.7,95.8,96.2,SE,TN
"Muskogee, OK",86,98,68.3,97.5,80.8,96.7,93.5,MW,OK
"Myrtle, Beach, SC",95.2,105.7,78.4,104.5,94.7,100.4,102.4,SE,SC
"Nacogdoches, TX",92.5,91,83.3,97.7,93.8,102.6,98,S,TX
"Nashville-Franklin, TN",88.9,91.7,71.3,82.6,92.5,87.3,104.5,SE,TN
"Nassau, County, NY",145.7,123,206.7,140.7,113.1,119.7,115.3,NE,NY
"New, Haven, CT",122.1,117.9,134.9,123.5,106.3,112.7,117.9,NE,CT
"New, York, (Brooklyn), NY",181.7,130.6,317.8,165,103,111.5,119.5,NE,NY
"New, York, (Manhattan), NY",216.7,154.3,386.7,169.6,120.3,130.2,145.7,NE,NY
"New, York, (Queens), NY",159,128.3,230.8,172,108.8,118,123.9,NE,NY
"Newark-Elizabeth, NJ",129.7,111.6,168.5,129.2,103.9,103.1,113.9,NE,NJ
"Norman, OK",94.4,95.3,88.7,91.6,104,96.6,96.8,MW,OK
"Oakland, CA",139.1,116.8,198.8,94.7,113.6,119.9,119,W,CA
"Odessa, TX",90.9,91.2,88.1,88.8,93.6,96.6,92.4,S,TX
"Oklahoma, City, OK",91.7,92.9,86,88.1,92.6,99.4,96.2,MW,OK
"Olympia, WA",104.1,107.4,102.2,82.1,114.9,120.5,106,NW,WA
"Omaha, NE",88.3,92,79.3,89.9,100,96.8,89.7,MW,NE
"Orange, County, CA",146.4,104.5,242.8,103.2,114.6,111.6,105.2,W,CA
"Orlando, FL",97.8,97.8,85.4,108.5,101.8,95.5,104.5,SE,FL
"Paducah, KY",87.3,94.8,75.8,96.5,86.6,90.3,91.3,SE,KY
"Palm, Springs, CA",121.8,111.5,154.2,112.7,110.2,100.8,106.1,W,CA
"Panama, City, FL",99.4,93.7,101.5,99.7,108.8,94.5,97.6,SE,FL
"Paris, TX",88.9,93.6,80,87.4,94.1,94,93,S,TX
"Pascagoula, MS",92.3,101,84.3,91.4,97.4,91.6,94.6,S,MS
"Peoria, IL",96.3,93.4,95,97.2,101.4,95.8,96.8,MW,IL
"Philadelphia, PA",126.5,124.9,141.3,135.9,105.8,108.2,119.6,NE,PA
"Phoenix, AZ",100.7,108.1,90.4,96.6,108.9,108.8,104.6,SW,AZ
"Pittsburgh, PA",91.5,104.1,74.4,97,105.9,90.1,95.8,NE,PA
"Pittsfield, MA",110.6,115,96.2,161.9,98.9,105,110,NE,MA
"Plano, TX",97.4,101.3,85.2,103.9,101.8,102.9,102.6,S,TX
"Plattsburgh, NY",100.1,98.9,95.1,119.4,105.5,113,95.9,NE,NY
"Ponca, City, OK",90,94.8,76.6,93,94.4,94.4,97,MW,OK
"Portland, ME",116.5,101.8,143,102.9,111.8,109.7,105.5,NE,ME
"Portland, OR",111.3,105.8,130.8,87.1,105.8,113.6,105.1,NW,OR
"Prescott-Prescott, Valley, AZ",103.7,95.2,118.1,91.8,100.3,97.8,99.7,SW,AZ
"Providence, RI",123.3,113.4,129,129,102.5,113.2,128.1,NE,RI
"Pryor, Creek, OK",84.5,95,71.5,82.7,86.6,86,91.5,MW,OK
"Pueblo, CO",85.6,100.5,71.5,80.1,93.8,94.1,90.1,W,CO
"Quincy, IL",95.5,97.4,94.5,95.5,94.2,99.8,95.5,MW,IL
"Raleigh, NC",98.2,104.2,88.8,105.6,96.7,101,101.9,SE,NC
"Reno-Sparks, NV",101.1,105.4,101.5,91.2,107.3,101.8,100,W,NV
"Richmond, IN",90.8,83.3,84.6,106.4,98.4,95.1,91.7,MW,IN
"Richmond, VA",104.5,103.6,103.2,113.9,100.8,112.6,103.2,SE,VA
"Rio, Rancho, NM",95.1,92,90.5,88.6,94.7,100.2,101.8,SW,NM
"Riverside, City, CA",112.5,104.9,136.3,99.9,113.4,104.4,99.1,W,CA
"Roanoke, VA",94.1,89.7,92.2,104.1,91.1,97.9,94.8,SE,VA
"Rochester, MN",99.2,89.6,91.1,104.8,106.3,109.5,105,MW,MN
"Rochester, NY",100,94.6,94.2,114.4,108.7,99.7,100.2,NE,NY
"Rockford, IL",92.4,92.6,74.7,111.2,105.8,103.3,96.8,MW,IL
"Roswell, NM",95.9,105.6,82.9,104.3,97.5,101.2,99.9,SW,NM
"Round, Rock, TX",89.7,81.9,78,107,87.6,96.6,97.6,S,TX
"Sacramento, CA",116.2,114.7,135.7,109.6,114.4,110.8,102.8,W,CA
"Salina, KS",86.9,86.9,76,87,94.7,94.9,93.1,MW,KS
"Salt, Lake, City, UT",100.6,100.1,108,72.5,102.1,98.8,102.9,W,UT
"San, Angelo, TX",92.4,89.3,84,106,97.6,96.7,94.9,S,TX
"San, Antonio, TX",95.7,84.9,95.3,82.8,100.7,99.9,102.2,S,TX
"San, Diego, CA",132.3,105.5,194.4,101.9,113.1,111.5,105.8,W,CA
"San, Francisco, CA",164,111.9,281,94.5,113,117,124.3,W,CA
"San, Jose, CA",156.1,115.3,260.3,137.2,114,119,103.6,W,CA
"San, Marcos, TX",94.8,88.7,100.1,86.8,90.1,92.6,96.8,S,TX
"Sarasota, FL",101.5,107.7,102.9,97.4,102.5,105.2,98.1,SE,FL
"Savannah, GA",93.5,94.7,84,94,98.4,99,99.1,SE,GA
"Seattle, WA",121.4,115.1,140.3,85.7,118.8,119.9,119.1,NW,WA
"Seguin, TX",90.7,90.7,78.5,103.8,95.6,96.9,95.1,S,TX
"Sheboygan, WI",101.4,94.3,97.5,117.3,105.9,105.5,100.8,MW,WI
"Shreveport-Bossier, City, LA",95.3,95.2,93.5,89.4,93.4,93.1,99.6,SE,LA
"Sierra, Vista, AZ",97.9,96.5,99.7,97.2,104,96.1,95.5,SW,AZ
"Sioux, Falls, SD",94.1,91.5,86.6,101.6,86.9,102.2,100.6,MW,SD
"Slidell-St., Tammany, Parish, LA",97,95.1,101,82.2,96.2,93.4,99.4,SE,LA
"South, Bend, IN",91.9,91.3,84.2,92.3,95.4,96.3,97.3,MW,IN
"Spokane, WA",93.9,92.4,85.7,89.5,109.1,110,96.5,NW,WA
"Springfield, IL",85.8,89.7,70.1,79.8,104.5,106.5,91.7,MW,IL
"Springfield, MO",88,93.2,76.8,83.2,96.8,95.3,93.8,MW,MO
"St., Cloud, MN",98.3,101.7,80.7,117.2,99.9,102,105.8,MW,MN
"St., George, UT",95.9,99.9,94.2,85.9,100.4,87.8,98.4,W,UT
"St., Joseph, MO",92.3,95.4,86.5,93.7,90.1,94.9,96,MW,MO
"St., Louis, MO-IL",90.4,98.4,74.6,92.9,99,100.8,96.5,MW,IL
"St., Paul, MN",110,107,112.9,106.8,103.4,106.7,112.2,MW,MN
"Stamford, CT",146.9,121.8,212.6,121.3,110,113.3,122.1,NE,CT
"Staunton-Augusta, County, VA",96.2,98.3,93.7,100,94.5,98.1,96.6,SE,VA
"Stillwater, OK",90.1,95.5,81.2,97.9,88.8,95.7,93.1,MW,OK
"Sumter, SC",96.3,103.4,90.2,108.4,97.8,91.3,95.3,SE,SC
"Syracuse, NY",101.5,98.6,91.4,118.4,108.3,97.8,104.8,NE,NY
"Tacoma, WA",109.5,111.3,116.6,83.1,109,115.1,110.2,NW,WA
"Tampa, FL",92.4,96.3,84.7,93.8,103.3,98.4,93.4,SE,FL
"Temple, TX",87.4,83.7,71.8,107.6,97.9,91.2,92.8,S,TX
"Thomasville-Lexington, NC",89.2,105.5,77.2,80.7,88.8,109.1,93.5,SE,NC
"Topeka, KS",91.8,92.9,84,85.8,97.4,93.2,98.1,MW,KS
"Troy-Miami, County, OH",95.4,96.4,83.9,123.3,99.2,89.2,96.2,MW,OH
"Truckee-Nevada, County, CA",146.9,132.2,208.3,114.3,121.5,112,120.5,W,CA
"Tucson, AZ",96.5,97.2,91.9,86.7,104.6,99.2,100.5,SW,AZ
"Tulsa, OK",88.4,91.9,66.5,95.2,99.1,94.6,100.5,MW,OK
"Tupelo, MS",88.1,91.1,72.3,110.1,93.8,86.6,92.7,S,MS
"Tuscaloosa, AL",94.6,104.9,80.6,105.9,102.8,90.2,97.4,SE,AL
"Twin, Falls, ID",91.5,95.5,81.4,97,99.2,93.3,94.6,NW,ID
"Tyler, TX",96.3,92.7,91.5,102.1,100.2,93.1,99.3,S,TX
"Valdosta, GA",94.1,111.8,85.3,89,96.7,102.2,94.5,SE,GA
"Vancouver, WA",94.8,96.9,82.2,91.8,106.1,114.3,100.1,NW,WA
"Vero, Beach-Indian, River, FL",97.4,109.1,83.5,104.5,97.8,97.7,102.5,SE,FL
"Waco, TX",88.9,81.8,88.5,85.3,97.6,90.9,90.5,S,TX
"Washington-Arlington-Alexandria, DC-VA",140.1,107.9,226.4,97.3,109.3,103.4,103.7,SE,VA
"Waterloo-Cedar, Falls, IA",91.7,89.5,89.6,88.2,99.4,95.9,92.8,MW,IA
"Wausau, WI",96.5,100,89.6,98.4,97.5,101.3,99.7,MW,WI
"Weatherford, TX",91.4,95.9,79.7,107.4,96.2,93.1,93.3,S,TX
"Wichita, Falls, TX",86.5,91.9,84,84.4,82.5,94.5,87.4,S,TX
"Wichita, KS",91.8,90.5,83.6,89.7,100.6,96.7,97.1,MW,KS
"Williamsport-Lycoming, Co, PA",100.7,103.5,96.3,127.7,91.8,92.6,98.9,NE,PA
"Wilmington, DE",105.2,108.1,102,115.4,98.6,108.7,105.2,NE,DE
"Wilmington, NC",98.8,108,89.7,108.5,97.6,100.1,100.3,SE,NC
"Winchester, VA-WV",102.3,104.6,94.5,98.2,96.8,105,110.9,SE,WV
