,title,company,location,reviews,summary,hourly,monthly,yearly,est_sal
301,Statistical Data Analyst,Ga. Dept. of Admin. Services,"Atlanta, GA",,Strong data research and analysis skills for the position of Statistical Data. To determine and map source to target data and documents data cleansing rules....,0,0,1,41000.0
302,Senior Data Scientist,Vesta Corporation,"Atlanta, GA 30303 (Five Points area)",31,"Experience with data visualization is preferred. We are looking for a Senior Data Scientist in Atlanta, GA or Portland, OR to become part of our outstanding...",0,0,0,
303,Machine Learning-Data Science Computer Vision Researcher ATA...,Georgia Tech Research Institute,"Atlanta, GA 30318 (Rockdale area)",254,Extraction and integration of data from multiple data sources. The Georgia Tech Research Institute's Machine Learning and Analytics branch is looking for...,0,0,0,
304,Research Statistician,State Farm Mutual Automobile Insurance Company,"Atlanta, GA","3,356",Independently extracts and transforms data for use in analysis. Academic background in quantitative disciplines and methodologies such as applied and...,0,0,0,
305,"Manager, Data Enablement",Cox Automotive,"Atlanta, GA",42,"Develop and maintain effective working relationships with subject matter experts, analysts, data scientists, and technology teams across Cox Automotive in order...",0,0,0,
306,Mathematical Statistician,Centers for Disease Control and Prevention,"Atlanta, GA",62,"Survey designs for related data collection. Conduct evaluations of data collection, reduction, processing, and analysis....",0,0,1,120002.5
307,Senior Data Scientist,Verizon,"Alpharetta, GA 30022","11,101","Experience as a data scientist, analyst or statistical modeler. Lead & manage data augmentation, clean up and data quality issue resolution....",0,0,0,
308,Lead Data Scientist,Stackfolio,"Atlanta, GA 30308 (Old Fourth Ward area)",,We are looking for a bright and experienced data scientist that has experience building web-based applications and systems to join our team as an early...,0,0,1,80000.0
309,Data Science Engineer,QBE,"Plantation Place, GA",75,"We're looking for a hybrid data engineer and data scientist to help lead a greenfield analytics modelling and infrastructure project, implementing predictive...",0,0,0,
310,Sr. Application Developer,ADP,"Alpharetta, GA 30004","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
311,"Senior Data Analyst, Supply Chain",Home Depot,"Atlanta, GA","20,566","And operates under minimal supervision and mentorship of more experienced managers and data scientists. 2-4 years work experience in data mining, statistical...",0,0,0,
312,Data Scientist,Cox Automotive,"Atlanta, GA",42,Description Cox Automotive is hiring a Data Scientist. The Data Scientist will design and drive the creation of new standards and best practices in the use of...,0,0,0,
313,Director - Product Management,ADP,"Alpharetta, GA 30004","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
314,Principal Application Developer-IDE,ADP,"Alpharetta, GA 30004","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
315,Data Manager,Northrop Grumman,"Atlanta, GA","2,123","Generating data quality control reports to document adherence to study protocols, assist the team with resolving data inconsistencies....",0,0,0,
316,Senior Data Scientist BIG DATA,AT&T,"Atlanta, GA","14,277",Competitive Programmer or Competitive Data Scientist. Knowledge of scalable data visualization techniques....,0,0,0,
